koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_slogg,ra,dec
0,0,1,1,0,2.861159894,171.648106,1.8832,1.01E+03,4.37,1355,797.1,58.3,1,q1_q17_dr25_tce,4.458,291.67172,42.343109
0.573,0,1,0,0,20.5452375,137.91394,2.517,2.19E+02,2.41,742,71.57,18.5,1,q1_q17_dr25_tce,4.206,294.40192,50.172089
0,0,1,0,0,6.998099523,171.898913,2.0488,2.03E+04,588.66,853,125.22,192.3,1,q1_q17_dr25_tce,4.566,287.88412,42.832439
0,0,1,1,1,8.8111022,136.4568,5.0683,4.01E+02,63.66,1399,904.92,76.8,1,q1_q17_dr25_tce,3.8,294.46088,38.383461
0,0,1,1,1,7.9426176,174.52563,6.703,1.59E+03,4.68,878,140.57,60.4,1,q1_q17_dr25_tce,4.521,299.00143,43.399632
0,0,1,0,0,1.956811408,170.694208,2.1958,2.49E+04,21.58,1109,357.16,125.4,1,q1_q17_dr25_tce,4.657,295.83536,42.943062
0,0,1,0,0,1.000747038,169.974229,0.9967,1.82E+03,4.14,1620,1635.2,147.4,1,q1_q17_dr25_tce,4.499,297.97513,43.164909
0.228,0,1,0,0,4.409409243,171.89433,3.8636,1.29E+04,10.95,1101,347.06,85.8,1,q1_q17_dr25_tce,4.368,296.41019,43.455391
0,0,0,1,0,5.795063956,172.697467,3.2496,1.69E+03,4.33,950,192.74,119.4,1,q1_q17_dr25_tce,4.563,296.50754,44.036072
0,0,0,1,1,16.37198661,172.75926,3.8449,4.15E+03,540.37,438,8.71,54.5,1,q1_q17_dr25_tce,4.656,298.67862,44.175499
0,0,1,1,1,3.044770796,172.01916,10.0134,1.70E+03,24.54,1076,317.36,203.5,1,q1_q17_dr25_tce,4.603,293.68494,45.51683
0,0,0,1,1,3.855599139,170.67957,3.183,1.03E+03,3.57,1158,425.74,90.1,1,q1_q17_dr25_tce,4.501,296.39542,45.56992
0.92,0,1,0,0,38.47876629,151.852812,5.04169,2.35E+04,13.26,484,13.01,1077.8,1,q1_q17_dr25_tce,4.539,288.90222,49.370491
0,0,1,0,0,37.60166128,194.713383,8.30604,5.91E+04,27.22,606,31.86,1667.3,1,q1_q17_dr25_tce,4.354,282.30603,44.714661
0,0,1,0,0,6.71969089,173.35776,3.0231,9.70E+02,4.37,952,194.18,45.4,1,q1_q17_dr25_tce,4.479,301.04956,44.706299
0,0,1,0,0,51.42598578,173.535933,16.9422,6.61E+04,29.66,549,21.4,1843.8,1,q1_q17_dr25_tce,4.41,290.63898,44.806789
0,0,1,0,0,33.80364366,202.259731,11.4813,1.35E+04,20.7,745,72.71,529.9,1,q1_q17_dr25_tce,3.999,297.47586,41.114288
0,0,1,0,0,19.97448524,171.6300909,4.23479,4.03E+04,26.56,700,56.84,1398.8,1,q1_q17_dr25_tce,4.471,289.72748,45.367661
0,0,1,1,0,23.89963441,188.982797,3.81881,2.10E+04,44.04,652,42.8,547.8,1,q1_q17_dr25_tce,4.503,294.71768,45.48576
0,0,1,1,0,3.187067566,171.64976,3.119,1.04E+03,23.88,1079,319.76,37.2,1,q1_q17_dr25_tce,4.552,297.78848,45.565418
1,0,1,0,0,102.9641952,158.07473,15.735,1.90E+03,39,797,95.4,86.1,1,q1_q17_dr25_tce,3.066,296.81772,46.781509
,1,0,0,1,0.445277068,133.52312,3.539,1.87E+02,35.74,2562,10177.11,28.9,1,q1_q17_dr24_tce,4.444,297.10349,47.64357
0,0,1,0,0,0.379463865,170.2480164,0.86896,1.97E+03,59.56,3000,19256.81,458.6,1,q1_q17_dr25_tce,3.892,290.91119,38.335579
0,0,1,0,0,9.88047978,173.608672,2.78458,1.85E+04,23.6,860,129.45,534.5,1,q1_q17_dr25_tce,4.512,281.66916,42.038639
